Principio Attivo;Descrizione Gruppo Equivalenza;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno ;;;;;;;;;;;;;;;;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 4ML 1 UNITA' USO PARENTERALE EV;NIULIVA*1 siringa infus 4 ml 250 UI/ml;539,68;327,00;-;INSTITUTO GRIFOLS S.A.;038445021;AUR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 2.500UI 45ML 1 UNITA' USO PARENTERALE EV;VENBIG*1 fiala 2.500 UI + 1 fiala solv 45 ml + set;-;-;875,00;KEDRION SpA;026415051;AUN;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 500UI 10ML 1 UNITA' USO PARENTERALE EV;VENBIG*1 fiala 500 UI + 1 fiala solv 10 ml + set;324,70;196,74;-;KEDRION SpA;026415048;AUS;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Citomegalovirus;IMMUNOGLOBULINA UMANA CITOMEGALOVIRUS 1.000UI 10ML 1 UNITA' USO PARENTERALE EV;CYTOMEGATECT*1 flacone EV 1.000 U 10 ml;325,21;197,05;-;BIOTEST PHARMA GMBH;046731016;GWG;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Citomegalovirus;IMMUNOGLOBULINA UMANA CITOMEGALOVIRUS 5.000UI 50ML 1 UNITA' USO PARENTERALE EV;CYTOMEGATECT*1 flacone EV 5.000 U 50 ml 100 U/ml;1.431,45;867,34;-;BIOTEST PHARMA GMBH;046731028;GWH;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 10ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 10 ml 200 mg/ml;166,36;100,80;-;BAXALTA INNOVATIONS GMBH;044244022;AVM;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 20ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 20 ml 200 mg/ml;332,72;201,60;-;BAXALTA INNOVATIONS GMBH;044244034;AVQ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 8G 40ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 40 ml 200 mg/ml;665,45;403,20;-;BAXALTA INNOVATIONS GMBH;044244046;KLI;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 5ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 5 ml 200 mg/ml;83,18;50,40;-;BAXALTA INNOVATIONS GMBH;044244010;AVI;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 100 ml 100 mg/ml;831,80;504,00;-;INSTITUTO GRIFOLS S.A.;040267078;AUY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 100 ml 50 mg/ml;415,90;252,00;-;INSTITUTO GRIFOLS S.A.;040267039;AVR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 200 ml 100 mg/ml;1.663,60;1.008,00;-;INSTITUTO GRIFOLS S.A.;040267080;AVL;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 200 ml 50 mg/ml;831,80;504,00;-;INSTITUTO GRIFOLS S.A.;040267041;AVC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 400ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 400 ml 50 mg/ml;1.663,60;1.008,00;-;INSTITUTO GRIFOLS S.A.;040267054;BQP;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 50 ml 100 mg/ml;415,90;252,00;-;INSTITUTO GRIFOLS S.A.;040267066;AVS;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 50 ml 50 mg/ml;207,95;126,00;-;INSTITUTO GRIFOLS S.A.;040267027;AVK;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA*1 flaconcino EV 100 ml 50 mg/ml;-;252,00;-;INSTITUTO GRIFOLS S.A.;029249051;AVR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA*1 flaconcino EV 200 ml 50 mg/ml;-;504,00;-;INSTITUTO GRIFOLS S.A.;029249063;AVC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA*1 flaconcino EV 50 ml 50 mg/ml;-;126,00;-;INSTITUTO GRIFOLS S.A.;029249048;AVK;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 192ML 1 UNITA' USO PARENTERALE;GAMMAGARD*1 flacone EV 10 g + 1 flacone solv 192 ml;-;504,00;-;BAXALTA INNOVATIONS GMBH;033240045;AUZ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 96ML 1 UNITA' USO PARENTERALE;GAMMAGARD*1 flacone EV 5 g + 1 flacone solv 96 ml;-;252,00;-;BAXALTA INNOVATIONS GMBH;033240033;AVT;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;GAMTEN*1 flacone EV 100 ml 100 mg/ml;831,80;504,00;-;OCTAPHARMA ITALY SpA;039457039;AUY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;GAMTEN*1 flacone EV 50 ml 100 mg/ml;415,90;252,00;-;OCTAPHARMA ITALY SpA;039457027;AVS;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 10ML 1 UNITA' USO PARENTERALE;GLOBIGA*1 flaconcino EV 1 g 100 mg/ml;83,18;50,40;-;OCTAPHARMA ITALY SpA;044187019;AVF;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 10ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 10 ml 200 mg/ml;166,36;100,80;-;CSL BEHRING GmbH;041157049;AVM;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 20ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 20 ml 200 mg/ml;332,72;201,60;-;CSL BEHRING GmbH;041157102;AVQ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 5ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 5 ml 200 mg/ml;83,18;50,40;-;CSL BEHRING GmbH;041157013;AVI;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 50ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 50 ml 200 mg/ml;815,17;493,92;-;CSL BEHRING GmbH;041157138;GOZ;;;;;;;;;;;;;;;;;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino SC 100 ml + 1 flaconcino 5 ml;914,32;554,00;-;BAXALTA INNOVATIONS GMBH;042804031;HQG;;;;;;;;;;;;;;;;;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino SC 200 ml + 1 flaconcino 10 ml;1.828,64;1.108,00;-;BAXALTA INNOVATIONS GMBH;042804043;HQQ;;;;;;;;;;;;;;;;;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 1,25ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino SC 25 ml + 1 flaconcino 1,25 ml;228,58;138,50;-;BAXALTA INNOVATIONS GMBH;042804017;JDK;;;;;;;;;;;;;;;;;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 30G 300ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino SC 300 ml + 1 flaconcino 15 ml;2.742,96;1.662,00;-;BAXALTA INNOVATIONS GMBH;042804056;HQS;;;;;;;;;;;;;;;;;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino SC 50 ml + 1 flaconcino 2,5 ml;457,16;277,00;-;BAXALTA INNOVATIONS GMBH;042804029;HQC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;IGVENA*1 flacone EV 100 ml 50 g/litro + set infusionale;415,90;252,00;-;KEDRION SpA;025266166;AVR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 20ML 1 UNITA' USO PARENTERALE;IGVENA*1 flacone EV 20 ml 50 g/litro;83,18;50,40;-;KEDRION SpA;025266141;AVG;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;IGVENA*1 flacone EV 200 ml 50 g/litro + set infusionale;831,80;504,00;-;KEDRION SpA;025266178;AVC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;IGVENA*1 flacone EV 50 ml 50 g/litro + set infusionale;207,95;126,00;-;KEDRION SpA;025266154;AVK;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 10ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 10 ml;85,67;51,91;-;BIOTEST PHARMA GMBH;037240090;FKK;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 100 ml;856,75;519,12;-;BIOTEST PHARMA GMBH;037240114;FKJ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 200 ml;1.713,51;1.038,24;-;BIOTEST PHARMA GMBH;037240126;FKN;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 50 ml;428,37;259,56;-;BIOTEST PHARMA GMBH;037240102;AVS;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 100 ml;-;259,56;-;BIOTEST PHARMA GMBH;037240076;AVR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 20ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 20 ml;-;51,91;-;BIOTEST PHARMA GMBH;037240052;AVG;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 200 ml;-;519,12;-;BIOTEST PHARMA GMBH;037240088;AVC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 50 ml;-;129,78;-;BIOTEST PHARMA GMBH;037240064;AVK;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 25ML 1 UNITA' USO PARENTERALE;KEYCUTE*1 flaconcino SC 25 ml 160 mg/ml;316,08;191,52;-;KEDRION SpA;043398027;JUY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 10ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 10 ml 100 mg/ml;-;50,40;-;TAKEDA MANUFACTURING AUS. AG;037107012;AVF;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 100 ml 100 mg/ml;-;504,00;-;TAKEDA MANUFACTURING AUS. AG;037107048;AUY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 200 ml 100 mg/ml;-;1.008,00;-;TAKEDA MANUFACTURING AUS. AG;037107051;AVL;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 25ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 25 ml 100 mg/ml;-;126,00;-;TAKEDA MANUFACTURING AUS. AG;037107024;AVJ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 30G 300ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 300 ml 100 mg/ml;2.495,42;1.512,00;-;TAKEDA MANUFACTURING AUS. AG;037107063;AVO;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 50 ml 100 mg/ml;-;252,00;-;TAKEDA MANUFACTURING AUS. AG;037107036;AVS;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1,6G 10ML 1 UNITA' USO PARENTERALE IM SC;NAXIGLO*1 flaconcino SC 10 ml 160 mg/ml;126,44;76,61;-;KEDRION SpA;043396011;AUX;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 25ML 1 UNITA' USO PARENTERALE;NAXIGLO*1 flaconcino SC 25 ml 160 mg/ml;316,08;191,52;-;KEDRION SpA;043396023;JUY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;OCTAGAM*1 flacone 100 ml 5%;415,90;252,00;-;OCTAPHARMA ITALY SpA;035143027;AVR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;OCTAGAM*1 flacone 200 ml 5%;831,80;504,00;-;OCTAPHARMA ITALY SpA;035143039;AVC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;OCTAGAM*1 flacone 50 ml 5%;207,95;126,00;-;OCTAPHARMA ITALY SpA;035143015;AVK;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1,65G 10ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 10 ml 165 mg/ml;130,38;79,00;-;OCTAPHARMA ITALY SpA;040652012;FKF;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 12ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 12 ml 165 mg/ml;158,04;95,76;-;OCTAPHARMA ITALY SpA;040652101;JWW;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 3,3G 20ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 20 ml 165 mg/ml;260,76;158,00;-;OCTAPHARMA ITALY SpA;040652048;FKQ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 24ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 24 ml 165 mg/ml;316,08;191,52;-;OCTAPHARMA ITALY SpA;040652137;JWX;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 8G 48ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 48 ml 165 mg/ml;632,17;383,04;-;OCTAPHARMA ITALY SpA;040652164;JWY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 6ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 6 ml 165 mg/ml;79,02;47,88;-;OCTAPHARMA ITALY SpA;040652075;JWV;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 100 ml 100 mg/ml;831,80;504,00;-;CSL BEHRING GmbH;039712029;AUY;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 200 ml 100 mg/ml;1.663,60;1.008,00;-;CSL BEHRING GmbH;039712031;AVL;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 25ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 25 ml 100 mg/ml;207,95;126,00;-;CSL BEHRING GmbH;039712043;AVJ;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 50 ml 100 mg/ml;415,90;252,00;-;CSL BEHRING GmbH;039712017;AVS;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 100 ml 50 g/litro + set infusionale;415,90;252,00;-;KEDRION SpA;037254036;AVR;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 20ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 20 ml 50 g/litro;83,18;50,40;-;KEDRION SpA;037254012;AVG;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 200 ml 50 g/litro + set infusionale;831,80;504,00;-;KEDRION SpA;037254048;AVC;;;;;;;;;;;;;;;;;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 50 ml 50 g/litro + set infusionale;207,95;126,00;-;KEDRION SpA;037254024;AVK;;;;;;;;;;;;;;;;;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;FLIXABI*1 flaconcino polv EV 100 mg;637,52;386,28;-;SAMSUNG BIOEPIS NL B.V.;044892014;IZW;;;;;;;;;;;;;;;;;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;INFLECTRA*1 flaconcino polv EV 100 mg 10 ml;637,52;386,28;-;PFIZER EUROPE MA EEIG;043010014;IZW;;;;;;;;;;;;;;;;;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;REMICADE*1 flacone polv EV 100 mg;765,03;463,53;-;JANSSEN BIOLOGICS B.V.;034528012;IZW;;;;;;;;;;;;;;;;;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;REMSIMA*1 flaconcino polv EV 100 mg;637,52;386,28;-;CELLTRION HEALTHCARE HUNG.KFT;042942019;IZW;;;;;;;;;;;;;;;;;
Infliximab;INFLIXIMAB 120MG 1 ML 1 UNITA' USO PARENTERALE;REMSIMA*1 penna SC 120 mg/ml + 2 tamponi imbevuti;476,95;288,98;-;CELLTRION HEALTHCARE HUNG.KFT;042942122;LDN;;;;;;;;;;;;;;;;;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;ZESSLY*1 flaconcino EV 100 mg;637,52;386,28;-;SANDOZ GMBH;046635013;IZW;;;;;;;;;;;;;;;;;
Inotersen;INOTERSEN 284MG 1,5ML 4 UNITA' USO PARENTERALE;TEGSEDI*4 siringhe preriempite SC 1,5 ml 189 mg/ml;35.628,51;21.587,80;-;AKCEA THERAPEUTICS IRELAND LTD;046924027;LDF;;;;;;;;;;;;;;;;;
Inotuzumab ozogamicin;INOTUZUMAB OZOGAMICIN 1MG 1 UNITA' USO PARENTERALE;BESPONSA*polv inf 1 flacone 1 mg;17.263,18;10.460,00;-;PFIZER EUROPE MA EEIG;045441019;KKZ;;;;;;;;;;;;;;;;;
Insulina aspart;INSULINA ASPART 160U 1,6ML 5 UNITA' USO PARENTERALE;NOVORAPID*PUMPCART 5 cartucce SC EV 1,6 ml 100 U/ml;27,92;16,92;-;NOVO NORDISK A/S;034498232;EFT;;;;;;;;;;;;;;;;;
Interferone Gamma 1B;INTERFERONE GAMMA 1B 100MCG 0,5ML 6 UNITA' USO PARENTERALE;IMUKIN*6 fiale SC 2 x 1.000.000 UI;761,09;461,16;-;CLINIGEN HEALTHCARE B.V.;028138016;AVZ;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 270MG I/ML 100ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 270 mg I/ml 100 ml;59,48;27,03;-;GE HEALTHCARE Srl;029354141;AWB;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 270MG I/ML 200ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 270 mg I/ml 200 ml;118,89;54,05;-;GE HEALTHCARE Srl;029354154;AWC;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 270MG I/ML 50ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 270 mg I/ml 50 ml;22,28;13,49;-;GE HEALTHCARE Srl;029354216;AWF;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 270MG I/ML 500ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 270 mg I/ml 500 ml;297,28;135,13;-;GE HEALTHCARE Srl;029354115;AWE;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 270MG I/ML 500ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 270 mg I/ml 500 ml;297,28;135,13;-;GE HEALTHCARE Srl;029354166;AWE;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 320MG I/ML 100ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 320 mg I/ml 100 ml;77,38;35,17;-;GE HEALTHCARE Srl;029354178;AWG;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 320MG I/ML 200ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 320 mg I/ml 200 ml;154,84;70,39;-;GE HEALTHCARE Srl;029354180;AWH;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 320MG I/ML 50ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 320 mg I/ml 50 ml;29,04;17,60;-;GE HEALTHCARE Srl;029354228;AWK;;;;;;;;;;;;;;;;;
Iodixanolo;IODIXANOLO 320MG I/ML 500ML 1 UNITA' USO PARENTERALE;VISIPAQUE*1 flacone 320 mg I/ml 500 ml;387,10;175,95;-;GE HEALTHCARE Srl;029354192;AWJ;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 100ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 100 ml;50,84;30,81;-;GE HEALTHCARE Srl;025477050;AWS;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 100ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 100 ml;50,84;30,81;-;GE HEALTHCARE Srl;025477148;AWS;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 20ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 20 ml;10,49;6,36;-;GE HEALTHCARE Srl;025477035;AWU;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 200ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 200 ml;101,71;61,63;-;GE HEALTHCARE Srl;025477098;AWT;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 200ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 200 ml;101,71;61,63;-;GE HEALTHCARE Srl;025477151;AWT;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 50ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 50 ml;25,80;15,64;-;GE HEALTHCARE Srl;025477047;AWW;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 50ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 50 ml;25,80;15,64;-;GE HEALTHCARE Srl;025477237;AWW;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 500ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 500 ml;254,23;154,04;-;GE HEALTHCARE Srl;025477100;AWV;;;;;;;;;;;;;;;;;
Ioexolo;IOEXOLO 300MG I/ML 500ML 1 UNITA' USO PARENTERALE;OMNIPAQUE*1 flacone 300 mg I/ml 500 ml;254,23;154,04;-;GE HEALTHCARE Srl;025477163;AWV;;;;;;;;;;;;;;;;;
