Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 28 UNITA' USO ORALE;LISINOPRIL IDROCLOROTIAZIDE*28 cpr 20 mg + 12,5 mg;4,99;EG SpA;038700050;KWK;Farmaco con prezzo uguale al prezzo di riferimento;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 28 UNITA' USO ORALE;LISINOPRIL IDROCLOROTIAZIDE*28 cpr 20 mg + 12,5 mg;4,99;MYLAN SpA;038463030;KWK;Farmaco con prezzo uguale al prezzo di riferimento;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 28 UNITA' USO ORALE;LISINOPRIL IDROCLOROTIAZIDE*28 cpr 20 mg + 12,5 mg;4,99;SANDOZ SpA;038535023;KWK;Farmaco con prezzo uguale al prezzo di riferimento;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 28 UNITA' USO ORALE;LISINOPRIL IDROCLOROTIAZIDE*28 cpr 20 mg + 12,5 mg;4,99;TEVA ITALIA Srl;037473016;KWK;Farmaco con prezzo uguale al prezzo di riferimento;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE;NALAPRES*14 cpr 20 mg + 12,5 mg;4,50;NEOPHARMED GENTILI SpA;027553015;EDA;X;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE;PRINZIDE*14 cpr 20 mg + 12,5 mg;2,80;NEOPHARMED GENTILI SpA;027481011;EDA;X;;
Lisinopril/idroclorotiazide;LISINOPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE;ZESTORETIC*14 cpr 20 mg + 12,5 mg;4,50;ASTRAZENECA SpA;027482013;EDA;X;;
Litio carbonato;LITIO CARBONATO 150MG 50 UNITA' USO ORALE;CARBOLITHIUM*50 cps 150 mg;2,74;TEVA ITALIA Srl;024597015;99B;;;
Litio carbonato;LITIO CARBONATO 300MG 50 UNITA' USO ORALE;CARBOLITHIUM*50 cps 300 mg;4,86;TEVA ITALIA Srl;024597039;99A;;;
Lixisenatide;LIXISENATIDE 10MCG 3ML 1 UNITA' USO PARENTERALE;LYXUMIA*1 cartuccia SC in penna preriemp 3 ml 10 mcg;56,12;SANOFI-AVENTIS GROUPE;042657015;ROW;;;
Lixisenatide;LIXISENATIDE 10MCG+20MCG 3ML 1+1 UNITA' USO PARENTERALE;LYXUMIA*1 cartuccia SC in penna preriemp 3 ml 10 mcg + 1 cartuccia SC in penna preriemp 3 ml 20 mcg;112,22;SANOFI-AVENTIS GROUPE;042657054;ROY;;;
Lixisenatide;LIXISENATIDE 20MCG 3ML 2 UNITA' USO PARENTERALE;LYXUMIA*2 cartucce SC in penna preriemp 3 ml 20 mcg;112,22;SANOFI-AVENTIS GROUPE;042657039;ROX;;;
Lomefloxacina;LOMEFLOXACINA 400MG 5 UNITA' USO ORALE;CHIMONO*5 cpr riv 400 mg;18,37;IST.LUSOFARMACO D'ITALIA SpA;027957024;O6A;;;
Lomitapide;LOMITAPIDE 10MG 28 UNITA' USO ORALE;LOJUXTA*28 cps rigide 10 mg flacone;31.145,15;AMRYT PHARMACEUTICALS DAC;042920025;FAI;;;
Lomitapide;LOMITAPIDE 20MG 28 UNITA' USO ORALE;LOJUXTA*28 cps rigide 20 mg flacone;31.145,15;AMRYT PHARMACEUTICALS DAC;042920037;FAV;;;
Lomitapide;LOMITAPIDE 5MG 28 UNITA' USO ORALE;LOJUXTA*28 cps rigide 5 mg flacone;31.145,15;AMRYT PHARMACEUTICALS DAC;042920013;FAC;;;
Lonoctocog Alfa;LONOCTOCOG ALFA 1.000UI 2,5ML 1 UNITA' USO PARENTERALE;AFSTYLA*1 flaconcino polv 1.000 Unita' Internazionali + 1 flaconcino 2,5 ml;1.221,30;CSL BEHRING GmbH;045255039;KBG;;;
Lonoctocog Alfa;LONOCTOCOG ALFA 1.500UI 5ML 1 UNITA' USO PARENTERALE;AFSTYLA*1 flaconcino polv 1.500 Unita' Internazionali + 1 flaconcino 5 ml;1.831,94;CSL BEHRING GmbH;045255041;KBH;;;
Lonoctocog Alfa;LONOCTOCOG ALFA 2.000UI 5ML 1 UNITA' USO PARENTERALE;AFSTYLA*1 flaconcino polv 2.000 Unita' Internazionali + 1 flaconcino 5 ml;2.442,59;CSL BEHRING GmbH;045255054;KBI;;;
Lonoctocog Alfa;LONOCTOCOG ALFA 250UI 2,5ML 1 UNITA' USO PARENTERALE;AFSTYLA*1 flaconcino polv 250 Unita' Internazionali + 1 flaconcino 2,5 ml;305,32;CSL BEHRING GmbH;045255015;KBK;;;
Lonoctocog Alfa;LONOCTOCOG ALFA 3.000UI 5ML 1 UNITA' USO PARENTERALE;AFSTYLA*1 flaconcino polv 3.000 Unita' Internazionali + 1 flaconcino 5 ml;3.663,89;CSL BEHRING GmbH;045255078;KBL;;;
Lonoctocog Alfa;LONOCTOCOG ALFA 500UI 2,5ML 1 UNITA' USO PARENTERALE;AFSTYLA*1 flaconcino polv 500 Unita' Internazionali + 1 flaconcino 2,5 ml;610,65;CSL BEHRING GmbH;045255027;KBM;;;
Loratadina;LORATADINA 1MG/ML 100ML USO ORALE;CLARITYN*1 flacone 100 ml 1 mg/ml sciroppo;5,33;BAYER SpA;027075023;DLB;;;
Loratadina;LORATADINA 10MG 20 UNITA' USO ORALE;CLARITYN*20 cpr 10 mg;8,80;BAYER SpA;027075011;DLA;X;;
Loratadina;LORATADINA 10MG 20 UNITA' USO ORALE;FRISTAMIN*20 cpr 10 mg;5,27;F.I.R.M.A. SpA;027076013;DLA;X;;
Loratadina;LORATADINA 10MG 20 UNITA' USO ORALE;LORATADINA*20 cpr 10 mg;5,27;EG SpA;037485075;DLA;X;;
Loratadina;LORATADINA 10MG 20 UNITA' USO ORALE;LORATADINA*20 cpr 10 mg;5,27;SANDOZ SpA;037399033;DLA;X;;
Loratadina;LORATADINA 10MG 20 UNITA' USO ORALE;LORATADINA*20 cpr 10 mg;5,27;TEVA ITALIA Srl;037552054;DLA;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LASTAN*28 cpr riv 100 mg;10,50;SO.SE.PHARM Srl;039383296;EQC;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LASTAN*28 cpr riv 50 mg;8,25;SO.SE.PHARM Srl;039383207;EQB;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LORTAAN*21 cpr riv 12,5 mg;6,24;MSD ITALIA Srl;029384029;EQA;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LORTAAN*28 cpr riv 100 mg;12,85;MSD ITALIA Srl;029384043;EQC;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LORTAAN*28 cpr riv 50 mg;11,04;MSD ITALIA Srl;029384017;EQB;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LOSAPREX*21 cpr riv 12,5 mg;6,75;ALFASIGMA SpA;029393028;EQA;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSAPREX*28 cpr riv 100 mg;12,90;ALFASIGMA SpA;029393042;EQC;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSAPREX*28 cpr riv 50 mg;11,09;ALFASIGMA SpA;029393016;EQB;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LOSARTAN*21 cpr riv 12,5 mg;4,70;DOC GENERICI Srl;039254014;EQA;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LOSARTAN*21 cpr riv 12,5 mg;4,70;DOC GENERICI Srl;044693051;EQA;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LOSARTAN*21 cpr riv 12,5 mg;4,70;EG SpA;038438014;EQA;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LOSARTAN*21 cpr riv 12,5 mg;4,70;MYLAN SpA;038263051;EQA;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;LOSARTAN*21 cpr riv 12,5 mg;4,70;SANDOZ SpA;039164025;EQA;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;ACCORD HEALTHCARE SLU;039374032;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;ALMUS Srl;039380290;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;AUROBINDO PHARMA ITALIA Srl;043614116;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;DOC GENERICI Srl;039254267;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;DOC GENERICI Srl;044693303;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;EG SpA;039410030;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;KRKA D.D.NOVO MESTO;039379300;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;PENSA PHARMA SpA;039198039;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;S.F. GROUP Srl;037951290;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;SUN PHARMACEUTICAL IND.EU.B.V.;039225115;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;TECNIMEDE SOC.TECNICO-MED.S.A.;039918053;EQC;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 100 mg;10,50;TEVA ITALIA Srl;038098707;EQC;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;ACCORD HEALTHCARE SLU;039374020;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;ALMUS Srl;039380213;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;AUROBINDO PHARMA ITALIA Srl;043614066;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;DOC GENERICI Srl;039254103;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;DOC GENERICI Srl;044693188;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;EG SpA;038438038;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;EG SpA;039410028;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;KRKA D.D.NOVO MESTO;039379211;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;LABORATORI ALTER Srl;039211026;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;MYLAN SpA;038263277;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;PENSA PHARMA SpA;039198027;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;S.F. GROUP Srl;037951175;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;SANDOZ SpA;039164037;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;SUN PHARMACEUTICAL IND.EU.B.V.;039225026;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;TECNIMEDE SOC.TECNICO-MED.S.A.;039918026;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;TEVA ITALIA Srl;038098341;EQB;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;LOSARTAN*28 cpr riv 50 mg;8,25;ZENTIVA ITALIA Srl;039077211;EQB;X;;
Losartan;LOSARTAN 12,5MG 21 UNITA' USO ORALE;NEOLOTAN*21 cpr riv 12,5 mg;6,20;NEOPHARMED GENTILI SpA;029385022;EQA;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;NEOLOTAN*28 cpr riv 100 mg;12,70;NEOPHARMED GENTILI SpA;029385046;EQC;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;NEOLOTAN*28 cpr riv div 50 mg;10,75;NEOPHARMED GENTILI SpA;029385010;EQB;X;;
Losartan;LOSARTAN 100MG 28 UNITA' USO ORALE;PRECTEN*28 cpr riv 100 mg;10,90;I.B.N. SAVIO Srl;038870010;EQC;X;;
Losartan;LOSARTAN 50MG 28 UNITA' USO ORALE;PRECTEN*28 cpr riv 50 mg;9,05;I.B.N. SAVIO Srl;038870022;EQB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;FORZAAR*28 cpr riv 100 mg + 25 mg;9,52;MSD ITALIA Srl;034310021;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;HIZAAR*28 cpr riv 50 mg + 12,5 mg;9,52;MSD ITALIA Srl;032079055;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;IPERSART*28 cpr riv 100 mg + 25 mg;6,90;S.F. GROUP Srl;039717020;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;IPERSART*28 cpr riv 50 mg + 12,5 mg;6,90;S.F. GROUP Srl;039717018;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+12,5MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 100 mg + 12,5 mg;7,57;TECNIMEDE SOC.TECNICO-MED.S.A.;040139103;GZW;;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;DOC GENERICI Srl;038510057;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;DOC GENERICI Srl;044475073;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;EG SpA;038601100;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;TECNIMEDE SOC.TECNICO-MED.S.A.;040139065;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;ZENTIVA ITALIA Srl;045045073;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;DOC GENERICI Srl;038510018;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;DOC GENERICI Srl;044475022;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;EG SpA;038601035;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;TECNIMEDE SOC.TECNICO-MED.S.A.;040139026;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN E IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;ZENTIVA ITALIA Srl;045045022;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr 100 mg+25 mg;6,90;MYLAN SpA;039445162;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr 50 mg+12,5mg;6,90;MYLAN SpA;039445046;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;ALMUS Srl;039909128;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;AUROBINDO PHARMA ITALIA Srl;041392248;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;KRKA D.D.NOVO MESTO;039473095;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;LABORATORI ALTER Srl;042818029;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;SANDOZ SpA;039154327;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;SUN PHARMACEUTICAL IND.EU.B.V.;039677101;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg + 25 mg;6,90;TEVA ITALIA Srl;038028332;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 100 mg +25 mg;6,90;PENSA PHARMA SpA;039122027;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;ALMUS Srl;039909041;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;AUROBINDO PHARMA ITALIA Srl;041392022;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;KRKA D.D.NOVO MESTO;039473020;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;LABORATORI ALTER Srl;042818017;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;PENSA PHARMA SpA;039122039;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;SANDOZ SpA;039154176;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;SUN PHARMACEUTICAL IND.EU.B.V.;039677036;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSARTAN IDROCLOROTIAZIDE*28 cpr riv 50 mg + 12,5 mg;6,90;TEVA ITALIA Srl;038028041;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOSAZID*28 cpr riv 100 mg + 25 mg;10,07;ALFASIGMA SpA;031497047;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOSAZID*28 cpr riv 50 mg + 12,5 mg;10,07;ALFASIGMA SpA;031497050;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;LOZID*28 cpr riv 100 mg + 25 mg;6,90;SO.SE.PHARM Srl;039908126;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;LOZID*28 cpr riv 50 mg + 12,5 mg;6,90;SO.SE.PHARM Srl;039908049;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;NEOLOTAN PLUS*28 cpr riv 100 mg + 25 mg;9,40;NEOPHARMED GENTILI SpA;032993040;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;NEOLOTAN PLUS*28 cpr riv 50 mg + 12,5 mg;9,40;NEOPHARMED GENTILI SpA;032993053;ERB;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 100+25MG 28 UNITA' USO ORALE;PRECTIAZIDE*28 cpr riv 100 mg + 25 mg;7,50;I.B.N. SAVIO Srl;039033028;ERA;X;;
Losartan/idroclorotiazide;LOSARTAN+IDROCLOROTIAZIDE 50+12,5MG 28 UNITA' USO ORALE;PRECTIAZIDE*28 cpr riv 50 mg + 12,5 mg;7,50;I.B.N. SAVIO Srl;039033016;ERB;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 20 mg;8,54;DOC GENERICI Srl;046720025;FAA;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 20 mg;8,54;EG SpA;047443027;FAA;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 20 mg;8,54;MYLAN SpA;046527014;FAA;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 20 mg;8,54;TEVA B.V.;046526012;FAA;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 40 mg;8,54;DOC GENERICI Srl;046720037;FAB;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 40 mg;8,54;EG SpA;047443039;FAB;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 40 mg;8,54;MYLAN SpA;046527026;FAB;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;LOVASTATINA*30 cpr 40 mg;8,54;TEVA B.V.;046526024;FAB;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;LOVINACOR*30 cpr 20 mg;11,04;INNOVA PHARMA SpA;035615069;FAA;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;LOVINACOR*30 cpr 40 mg;11,04;INNOVA PHARMA SpA;035615057;FAB;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;REXTAT*30 cpr 20 mg;11,04;RECORDATI SpA;035638055;FAA;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;REXTAT*30 cpr 40 mg;11,04;RECORDATI SpA;035638067;FAB;X;;
Lovastatina;LOVASTATINA 20MG 30 UNITA' USO ORALE;TAVACOR*30 cpr 20 mg;10,54;I.B.N. SAVIO Srl;035623053;FAA;X;;
Lovastatina;LOVASTATINA 40MG 30 UNITA' USO ORALE;TAVACOR*30 cpr 40 mg;10,54;I.B.N. SAVIO Srl;035623077;FAB;X;;
Lumacaftor/Ivacaftor;LUMACAFTOR+IVACAFTOR 200+125MG 112 UNITA' USO ORALE;ORKAMBI*112 cpr riv 200 mg + 125 mg;20.373,04;VERTEX PHARMACEUT.IRELAND LTD;044560011;HQH;;;
Lurasidone;LURASIDONE 18,5MG 28 UNITA' USO ORALE;LATUDA*28x1 cpr riv 18,5 mg;72,57;ANGELINI SpA;043335025;KFM;;;
Lurasidone;LURASIDONE 37MG 28 UNITA' USO ORALE;LATUDA*28x1 cpr riv 37 mg;72,57;ANGELINI SpA;043335090;KFN;;;
Lurasidone;LURASIDONE 74MG 28 UNITA' USO ORALE;LATUDA*28x1 cpr riv 74 mg;72,57;ANGELINI SpA;043335153;KFO;;;
Lutropina alfa;LUTROPINA ALFA 75UI 1 UNITA' USO PARENTERALE;LUVERIS*1 flaconcino SC 75 UI + 1 flaconcino solv;42,33;MERCK EUROPE BV;034951044;O8A;;;
Lutropina alfa;LUTROPINA ALFA 75UI 3 UNITA' USO PARENTERALE;LUVERIS*3 flaconcini SC 75 UI + 3 flaconcini solv;127,00;MERCK EUROPE BV;034951057;O8B;;;
